index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
457,23.921935,15.359295,-11.917839,-2.044565,1.595395,11.211661,0.000000,0.000000,-0.000000
458,-46.874130,-6.010459,0.308776,-1.954930,2.155121,23.958976,-0.000000,-0.000000,-0.000000
459,-46.912826,22.544869,-1.304419,-3.292026,2.283369,19.724981,-0.000000,-0.000000,0.000000
460,36.692949,14.045644,1.113531,0.956549,2.488944,9.347931,0.000000,-0.000000,0.000000
461,-59.352071,27.281105,-15.146166,-3.512671,2.355505,7.843534,0.000000,0.000000,-0.000000
462,-48.233077,16.907604,-5.895459,-1.609077,1.935204,18.723641,0.000000,-0.000000,0.000000
463,31.467687,12.689223,-12.374839,-1.876413,1.605823,9.872061,0.000000,-0.000000,-0.000000
464,-20.862393,-14.293102,16.390171,1.103307,2.870898,22.653361,0.000000,0.000000,-0.000000
465,72.087455,14.270971,-26.178437,-0.608045,-0.480529,-0.530737,0.000000,-0.000000,-0.000000
466,-41.541929,-1.459665,12.833537,-0.167829,2.681885,25.845337,0.000000,-0.000000,-0.000000
467,-16.865262,17.577746,8.367379,0.178538,2.529246,19.821679,-0.000000,-0.000000,-0.000000
468,34.562034,16.135722,-0.438574,0.609734,2.382322,9.572926,-0.000000,-0.000000,-0.000000
469,-22.173601,-14.834219,15.780222,0.881899,2.845881,22.913792,-0.000000,0.000000,0.000000
470,-34.934033,15.928935,34.592967,4.860367,3.607035,25.185887,0.000000,-0.000000,0.000000
471,-49.334850,16.506124,-8.237198,-1.069750,1.415924,17.777002,-0.000000,0.000000,0.000000
472,-44.293850,-8.035131,2.724770,-2.326450,2.101069,24.972870,0.000000,0.000000,0.000000
473,42.469411,-14.996628,-16.205115,-2.709089,1.266572,9.221785,-0.000000,0.000000,-0.000000
474,-17.457576,-17.391707,-2.484538,-2.337876,1.718293,21.610362,0.000000,0.000000,0.000000
475,-32.125222,14.170108,38.712407,5.806778,3.848008,24.939207,-0.000000,0.000000,-0.000000
476,-52.705737,20.854893,-7.011524,-3.060337,2.208193,15.488776,-0.000000,-0.000000,0.000000
477,32.746310,12.414945,-11.319174,-1.625690,1.679045,9.683426,0.000000,-0.000000,-0.000000
478,-40.734249,-3.262874,1.044080,-2.188349,1.775936,25.128280,0.000000,-0.000000,-0.000000
479,-23.894924,-14.806966,15.618576,0.783776,2.863834,23.193326,0.000000,0.000000,-0.000000
480,-34.709587,11.484674,17.013296,1.144413,2.867554,24.140716,-0.000000,-0.000000,-0.000000
481,-23.906239,-12.183908,21.119119,1.950461,3.108892,23.272099,0.000000,-0.000000,-0.000000
482,-46.928913,-5.077769,-1.625881,-1.678413,2.027401,23.674519,0.000000,-0.000000,-0.000000
483,41.393288,3.742502,-13.171715,-1.762512,1.567872,8.401985,0.000000,-0.000000,-0.000000
484,24.600811,16.445512,-10.096986,-1.646589,1.713012,11.093214,-0.000000,0.000000,-0.000000
485,-24.219312,-11.026634,22.774252,2.304188,3.168766,23.362686,0.000000,0.000000,-0.000000
486,45.018660,-11.002493,-3.755940,-0.080240,2.202407,9.025760,-0.000000,-0.000000,-0.000000
