index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
570,10.139194,8.259449,-5.333951,6.255534,0.266109,-6.070539,-0.000000,0.000000,0.000000
571,12.147470,7.911062,-5.205088,6.548450,0.583472,-6.637818,-0.000000,0.000000,-0.000000
572,-4.271681,-11.684270,-1.541910,0.417059,0.017930,0.055520,-0.000000,0.000000,0.000000
573,7.257366,-11.262516,-2.230375,3.188576,-0.681116,-0.566825,-0.000000,0.000000,-0.000000
574,9.208131,-2.840935,-3.004360,4.657621,-0.279525,-2.969574,0.000000,0.000000,0.000000
575,1.670268,-6.631575,-9.568507,1.799693,-2.138425,-0.993967,0.000000,-0.000000,-0.000000
576,1.605586,-6.811787,-9.452126,1.787847,-2.119307,-0.921666,-0.000000,0.000000,0.000000
577,0.962912,0.887622,-6.348412,3.817142,-0.674198,-1.827362,-0.000000,0.000000,0.000000
578,-2.971194,-12.545938,-2.737011,0.387216,-0.336638,0.051059,0.000000,0.000000,-0.000000
579,-3.322823,-13.331750,-2.548896,0.087037,-0.288150,0.019154,0.000000,-0.000000,0.000000
580,8.966790,9.657569,-4.865162,6.493860,0.474889,-5.936642,-0.000000,0.000000,-0.000000
581,4.123732,6.968368,-3.099097,5.998652,0.678598,-3.538480,0.000000,0.000000,0.000000
582,7.584550,6.775809,-5.766100,5.638150,-0.064861,-5.017632,0.000000,0.000000,0.000000
583,3.268372,4.128271,-4.043066,5.180822,0.164071,-2.803696,0.000000,0.000000,-0.000000
584,7.067284,8.893393,-0.736133,7.240222,1.528003,-4.458853,0.000000,0.000000,-0.000000
585,2.861034,4.245662,-6.794056,4.467754,-0.583978,-3.181126,-0.000000,-0.000000,0.000000
586,6.532060,8.506584,-3.497405,6.407405,0.711744,-4.689055,0.000000,-0.000000,-0.000000
587,8.323394,-9.612049,-3.688818,3.242334,-0.974609,-1.419338,-0.000000,0.000000,-0.000000
588,6.163332,-3.326595,-5.126156,3.820682,-0.799665,-2.307436,-0.000000,0.000000,0.000000
589,-0.606099,-4.716606,-2.025176,3.516601,0.186164,0.019864,-0.000000,-0.000000,-0.000000
590,4.389591,0.246432,-4.754923,4.407247,-0.365592,-2.432953,0.000000,0.000000,0.000000
591,8.665474,5.728047,-4.584820,5.878424,0.192757,-4.894764,-0.000000,-0.000000,0.000000
592,1.774526,3.611963,-4.949909,4.705086,-0.111437,-2.394749,-0.000000,0.000000,0.000000
593,3.884502,-1.452453,-3.524993,4.329602,-0.165583,-1.785883,-0.000000,-0.000000,-0.000000
594,1.383343,-2.898650,-2.983899,3.953913,-0.077700,-0.771229,-0.000000,0.000000,-0.000000
595,3.359007,8.561871,-1.118522,6.696277,1.360431,-3.319932,0.000000,-0.000000,0.000000
596,9.276082,6.806227,-5.965839,5.762742,-0.095643,-5.579239,-0.000000,0.000000,0.000000
597,5.005467,3.461006,-3.037838,5.508580,0.384026,-3.014212,0.000000,0.000000,0.000000
